2024-02-29 19:42:14 [main] INFO  com.alumni.AlumniApplication - Started AlumniApplication in 9.955 seconds (JVM running for 11.104)
2024-02-29 19:42:14 [main] INFO  c.a.s.runner.SystemApplicationRunner - 初始化OSS配置成功
2024-02-29 19:42:15 [main] INFO  c.a.s.runner.SystemApplicationRunner - 加载参数缓存数据成功
2024-02-29 19:42:15 [main] INFO  c.a.s.runner.SystemApplicationRunner - 加载字典缓存数据成功
2024-02-29 19:42:15 [RMI TCP Connection(13)-192.168.1.6] INFO  io.undertow.servlet - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-02-29 19:49:56 [SpringApplicationShutdownHook] INFO  io.undertow - stopping server: Undertow - 2.2.28.Final
2024-02-29 19:49:56 [SpringApplicationShutdownHook] INFO  io.undertow.servlet - Destroying Spring FrameworkServlet 'dispatcherServlet'
2024-02-29 19:49:56 [SpringApplicationShutdownHook] INFO  c.a.f.manager.ShutdownManager - ====关闭后台任务任务线程池====
2024-02-29 19:49:56 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource start closing ....
2024-02-29 19:49:56 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown initiated...
2024-02-29 19:49:56 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown completed.
2024-02-29 19:49:56 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
